City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,Horsham,51.064,-0.3272,46.49,86,75,21.85,GB,1645277718
310,Darhan,49.4867,105.9228,-5.04,92,98,4.92,MN,1645277718
311,Billings Metropolitan Area,45.7833,-108.5007,34.5,74,20,14.97,US,1645277719
312,Terney,45.0503,136.6092,12.85,90,62,6.96,RU,1645277719
313,Kupang,-10.1667,123.5833,80.42,82,100,5.39,ID,1645277719
314,Benemérito de las Américas,16.5167,-90.6439,69.71,97,73,0.25,MX,1645277719
315,Manavālakurichi,8.1333,77.3,84.29,76,90,10.51,IN,1645277719
316,Sitka,57.0531,-135.33,37.29,87,100,8.05,US,1645277719
317,Cartagena,10.3997,-75.5144,78.42,83,20,2.3,CO,1645277719
318,Ipixuna,-1.7625,-48.8043,84.15,58,100,4.41,BR,1645277719
319,Lavrentiya,65.5833,-171.0,-21.86,95,29,6.8,RU,1645277580
320,Trincomalee,8.5711,81.2335,80.37,78,73,12.59,LK,1645277720
321,Vengerovo,55.6848,76.7471,-0.62,100,39,5.08,RU,1645277720
322,Simao,22.7886,100.9748,59.67,62,100,4.07,CN,1645277720
323,George Town,5.4112,100.3354,84.15,78,20,7.0,MY,1645277720
324,Brighton,50.8284,-0.1395,46.74,89,75,31.07,GB,1645277580
325,Vardø,70.3705,31.1107,23.2,75,100,28.88,NO,1645277720
326,Bariloche,-41.1456,-71.3082,60.55,59,40,14.97,AR,1645277437
327,Kamaishi,39.2667,141.8833,39.38,96,100,2.28,JP,1645277720
328,Nevers,46.9896,3.159,49.71,46,75,12.66,FR,1645277578
329,Beloha,-25.1667,45.05,82.56,59,1,19.04,MG,1645277720
330,Helong,42.5397,128.9972,4.62,83,16,5.97,CN,1645277720
331,Hay River,60.8156,-115.7999,-11.22,77,75,8.05,CA,1645277721
332,Eyl,7.9803,49.8164,78.31,64,4,24.4,SO,1645277721
333,Megion,61.0296,76.1136,24.82,86,19,13.29,RU,1645277465
334,Nizwá,22.9333,57.5333,80.33,22,0,6.49,OM,1645277721
335,Mehamn,71.0357,27.8492,25.81,70,100,21.72,NO,1645277721
336,Eqbālīyeh,35.3022,51.5358,58.82,44,100,12.26,IR,1645277721
337,Broome,42.2506,-75.833,30.02,70,100,8.05,US,1645277721
338,Brownsville,25.9018,-97.4975,51.78,79,75,9.22,US,1645277721
339,Yeppoon,-23.1333,150.7333,78.58,76,21,15.84,AU,1645277722
340,Russell,32.3502,-85.1999,36.05,66,0,8.55,US,1645277722
341,Roviés,38.8167,23.2333,63.39,68,0,5.97,GR,1645277722
342,Fort Frances,48.5999,-93.4003,-19.98,83,0,5.75,CA,1645277722
343,Novy Urengoy,66.0833,76.6333,19.13,92,100,15.66,RU,1645277428
344,Thunder Bay,48.4001,-89.3168,-2.43,74,0,6.91,CA,1645277535
345,Arrondissement de Rodez,44.5,2.5833,47.88,53,75,16.11,FR,1645277722
346,Antalaha,-14.9003,50.2788,86.02,55,71,11.41,MG,1645277722
347,Maxixe,-23.8597,35.3472,87.62,48,40,9.22,MZ,1645277722
348,Pemba,-12.974,40.5178,86.7,79,75,9.22,MZ,1645277722
349,Mareeba,-17.0,145.4333,74.44,90,27,2.33,AU,1645277723
350,Herat Province,34.5,62.0,54.63,37,8,4.16,AF,1645277723
351,Padang,-0.9492,100.3543,77.05,80,87,3.83,ID,1645277723
352,Chillicothe,39.3331,-82.9824,33.51,57,40,20.71,US,1645277723
353,Bambous Virieux,-20.3428,57.7575,82.65,83,75,20.71,MU,1645277723
